id,type,name,phone,address,latitude,longitude,nptype,nptypename,purpose,mission
288902381,職業團體,連江縣營造工業同業公會,,連江縣南竿鄉福沃村130號2樓,26.156951934241,119.94428175895,NP100-1,職業團體,,
288890336,職業團體,連江縣馬祖教師會,,連江縣南竿鄉馬祖村4號,26.159358192963,119.92009308659,NP100-1,職業團體,,
288902379,職業團體,連江縣工會,,連江縣南竿鄉福沃村130號,26.156951934241,119.94428175895,NP100-1,職業團體,,
288914080,職業團體,馬祖酒廠產業工會,,連江縣南竿鄉復興村208號,26.161356088188,119.95153318625,NP100-1,職業團體,,
288901849,職業團體,連江縣教師會,,連江縣南竿鄉馬祖村4號,26.159358192963,119.92009308659,NP100-1,職業團體,,
288902380,職業團體,連江縣商業會,,連江縣南竿鄉福沃村19號,26.157566213341,119.94541692027,NP100-1,職業團體,,
288889698,職業團體,連江縣教師職業工會,,連江縣南竿鄉馬祖村4號,26.159358192963,119.92009308659,NP100-1,職業團體,,
288893303,職業團體,連江縣計程車駕駛員職業工會,,連江縣南竿鄉介壽村218號,26.155699098845,119.95135444745,NP100-1,職業團體,,
288935858,職業團體,金門縣酒類商業同業公會,,金門縣金湖鎮新市里復興路55號,24.441209295663,118.4160461555,NP100-1,職業團體,,
288906187,職業團體,金門縣護理師護士助產士公會,332-546,金門縣金湖鎮新市里復興路2號,24.440535304227,118.41781648572,NP100-1,職業團體,,
288935993,職業團體,金門縣金湖鎮金湖國民小學教師會,335-978,金門縣金湖鎮新市里林森路12號,24.442807001142,118.41554256448,NP100-1,職業團體,,
288935562,職業團體,金門縣魚類商業同業公會,,金門縣金城鎮珠浦東路4巷13弄19號,24.431788805999,118.32004430485,NP100-1,職業團體,,
288909637,職業團體,金門縣醫師公會,312-446,金門縣金湖鎮新市里復興路2號,24.440535304227,118.41781648572,NP100-1,職業團體,,
288909801,職業團體,金門縣立金湖國民中學教師會,332-612*111,金門縣金湖鎮太湖路3段1號,24.436617727752,118.42095191112,NP100-1,職業團體,,
288924493,職業團體,金門縣國立金門高級農工職業學校教師會,333-274*209,金門縣金湖鎮復興路1-11號,24.442168576725,118.42361679967,NP100-1,職業團體,,
288913498,職業團體,金門縣物理治療師公會,332-546*1806,金門縣金湖鎮復興路2號,24.440535304227,118.41781648572,NP100-1,職業團體,,
288935856,職業團體,金門縣遊覽車商業同業公會,,金門縣金湖鎮下莊中興號40號,24.451298972944,118.42681403491,NP100-1,職業團體,,
288935587,職業團體,金門縣理燙髮商業同業公會,,金門縣金沙鎮三民路42號,24.490324882783,118.41226498977,NP100-1,職業團體,,
288924342,職業團體,金門縣牙醫師公會,332-546,金門縣金沙鎮五福街30號,24.488030007385,118.41360972549,NP100-1,職業團體,,
288935709,職業團體,金門縣物理治療生公會,332-546*1806,金門縣金湖鎮復興路2號,24.440535304227,118.41781648572,NP100-1,職業團體,,
288935586,職業團體,金門縣肉類商業同業公會,321-401,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288937522,職業團體,金門縣飲食商業同業公會,325-800,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288935854,職業團體,金門縣西藥商業同業公會,325337,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288935588,職業團體,金門縣綢布商業同業公會,,金門縣金城鎮莒光路116號,24.432922141752,118.31680895119,NP100-1,職業團體,,
288935998,職業團體,金門縣土木包工商業同業公會,334107,金門縣金城鎮浯江北堤路28號2樓,24.429928014046,118.32125230947,NP100-1,職業團體,,
288935995,職業團體,金門縣液化氣體燃料商業同業公會,325-337,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288935855,職業團體,金門縣不動產開發商業同業公會,327-907,金門縣金寧鄉埔後31號,24.443125193472,118.31703548359,NP100-1,職業團體,,
288935583,職業團體,金門縣銀樓商業同業公會,,金門縣金城鎮中興路97號,24.43336374649,118.31775712448,NP100-1,職業團體,,
288935996,職業團體,金門縣計程車客運商業同業公會,325-252,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288936000,職業團體,金門縣傢俱商業同業公會,325-337,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
288933672,職業團體,金門縣教師會,,金門縣金寧鄉安美村安岐四十九之六號,24.46167775499,118.32586490814,NP100-1,職業團體,,
288937528,職業團體,金門縣糖果商業同業公會,325-337,金門縣金城鎮珠浦東路4巷35號3樓,24.432324382441,118.31946966024,NP100-1,職業團體,,
